Question,Responses,Correct Response,Topic Tags
What is the capital of France?,Paris;London;Berlin;Madrid,Paris,Geography;World Capitals
What is the highest mountain in the world?,Mount Everest;K2;Kangchenjunga;Lhotse,Mount Everest,Geography;Mountains
Who directed the movie Inception?,Christopher Nolan;Steven Spielberg;Quentin Tarantino;Martin Scorsese,Christopher Nolan,Movies;Directors
What is the currency of Japan?,Yen;Dollar;Pound;Euro,Yen,Geography;Currencies
What is the chemical symbol for gold?,Au;Ag;Fe;Cu,Au,Chemistry;Elements
Who wrote the novel To Kill a Mockingbird?,Harper Lee;John Steinbeck;F. Scott Fitzgerald;Ernest Hemingway,Harper Lee,Books;Authors
What is the largest planet in our solar system?,Jupiter;Saturn;Uranus;Neptune,Jupiter,Astronomy;Planets
What is the capital of Australia?,Canberra;Sydney;Melbourne;Brisbane,Canberra,Geography;World Capitals
Who was the first president of the United States?,George Washington;Thomas Jefferson;John Adams;Abraham Lincoln,George Washington,History;Presidents
What is the largest ocean on Earth?,Pacific;Atlantic;Indian;Arctic,Pacific,Geography;Oceans
What is the formula for water?,H2O;CO2;O2;CH4,H2O,Chemistry;Molecules
Who painted the Mona Lisa?,Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Michelangelo,Leonardo da Vinci,Art;Painters
